User Rating Count,Size,Subtitle_Available,Free_Price,Age_Rating,Description_Length,Genres_Count,Language_EN,Languages_Count,In_App_Count,In_App_Max
14777.0,139816960.0,0,1,4,2683,4,1,1,2,3.99
17.0,3371008.0,0,0,4,621,4,1,1,0,0.0
10.0,16220160.0,0,1,4,225,3,1,1,1,0.99
32.0,61274112.0,0,1,9,854,3,1,1,8,4.99
2753.0,781709312.0,1,1,12,2538,4,1,1,5,19.99
5.0,174809088.0,1,1,9,3626,3,1,1,3,4.99
47.0,129716224.0,1,1,12,2007,2,1,10,2,29.99
5.0,326955008.0,0,1,4,1016,4,1,1,0,0.0
36.0,170752000.0,0,1,4,928,4,1,1,1,4.99
20.0,45099008.0,1,1,9,103,5,1,22,6,99.99
32.0,68359168.0,0,1,12,933,4,1,1,3,1.99
256.0,652736512.0,1,1,4,606,4,1,1,10,19.99
12.0,24114176.0,0,0,9,1371,4,1,4,1,0.0
14.0,134635520.0,1,1,17,715,4,1,1,0,0.0
341.0,96487424.0,1,1,9,1827,4,1,5,10,6.99
54.0,12474577.0,0,1,4,1367,4,1,3,3,4.99
1854.0,120340480.0,0,1,4,708,4,1,1,10,3.99
27.0,81715200.0,0,1,17,931,3,1,1,3,9.99
55.0,12353536.0,0,1,4,457,4,1,1,0,0.0
2360.0,94826496.0,1,1,4,1621,4,1,3,9,49.99
26.0,1267209216.0,0,0,12,528,5,1,1,0,0.0
16.0,28286976.0,0,1,4,705,4,1,1,1,0.99
15.0,31452254.0,0,1,12,1244,4,1,1,1,0.99
56.0,166757376.0,1,1,12,892,3,1,3,9,99.99
248.0,136123392.0,0,1,4,701,4,1,1,3,2.99
5.0,22065152.0,0,0,4,3799,4,1,2,0,0.0
14.0,70737920.0,0,1,4,861,4,1,1,10,4.99
64.0,8647680.0,0,1,4,1010,3,1,31,0,0.0
18.0,36622336.0,0,1,4,694,4,1,1,1,0.99
6.0,32866306.0,0,1,4,850,3,1,1,2,7.99
820.0,66686012.0,0,1,4,613,3,1,1,6,6.99
682.0,131994624.0,0,1,4,735,3,1,1,1,4.99
5381.0,43526144.0,0,1,4,357,4,1,1,0,0.0
19.0,31442944.0,1,1,4,795,4,1,1,9,1.99
2966.0,61284352.0,0,0,4,712,4,1,2,7,19.99
194.0,138543104.0,0,1,12,3117,4,1,1,3,1.99
79.0,296632320.0,0,0,4,1712,4,1,9,0,0.0
14742.0,86545408.0,0,1,9,1076,5,1,1,10,99.99
2786.0,63672320.0,1,0,4,3185,3,1,1,6,4.99
15.0,409570.0,0,1,4,893,4,1,1,0,0.0
252.0,79267840.0,1,1,4,1059,4,1,3,8,19.99
1121.0,254496768.0,0,0,9,3008,4,1,6,5,19.99
12.0,15872000.0,0,1,4,347,3,1,1,5,4.99
38.0,34247680.0,0,0,9,1027,4,1,1,1,1.99
982.0,894489600.0,1,1,12,3186,4,1,10,16,29.99
16.0,10534912.0,0,1,4,1657,4,1,1,1,0.99
52.0,23592960.0,1,1,4,1361,4,1,1,3,0.99
7.0,6299648.0,0,0,4,800,3,1,1,0,0.0
6445.0,91420672.0,0,1,12,1432,3,1,11,9,99.99
31.0,87768064.0,1,1,12,537,3,1,1,2,3.99
91651.0,203108352.0,1,1,9,2108,4,1,11,10,19.99
330.0,202849280.0,1,1,12,2511,3,1,10,10,19.99
4025.0,42757120.0,1,1,4,2683,4,1,1,10,4.99
89.0,20000768.0,0,1,4,212,5,1,1,2,1.99
5346.0,140959744.0,1,1,9,2864,3,1,1,10,9.99
39.0,618165248.0,0,1,4,686,5,1,1,5,24.99
718.0,160809984.0,1,1,9,1807,5,1,1,6,99.99
6147.0,54165504.0,1,1,4,2051,4,1,1,0,0.0
24.0,35758080.0,0,1,4,588,4,1,4,0,0.0
34.0,39718912.0,0,1,4,56,4,1,7,2,1.99
357.0,693882880.0,0,0,12,3307,4,1,10,1,1.99
26.0,8820736.0,0,1,4,2510,4,1,2,0,0.0
23.0,227286016.0,1,1,4,4102,3,1,1,12,14.99
275.0,31575040.0,1,1,4,527,4,1,3,10,29.99
88.0,99802112.0,0,1,9,160,4,1,1,3,2.99
566.0,321665024.0,1,1,12,2465,3,1,1,10,94.99
45686.0,92408832.0,1,1,4,3749,4,1,1,4,49.99
10.0,151497728.0,1,1,4,1280,4,1,1,0,0.0
11.0,99683328.0,0,1,9,1038,4,1,4,2,6.99
20.0,19283845.0,0,1,4,2424,3,1,1,0,0.0
1367.0,63735808.0,1,1,4,3950,4,1,1,3,0.99
2512.0,220811264.0,1,1,9,2858,4,1,18,16,99.99
861.0,5682435.0,0,1,4,1274,4,1,5,0,0.0
265.0,109746176.0,1,1,4,683,4,1,1,1,0.99
359.0,102265856.0,0,1,4,1156,4,1,1,6,9.99
20.0,38791168.0,1,1,9,1096,3,1,25,5,9.99
99.0,114019328.0,1,0,4,3641,3,1,1,6,4.99
12842.0,218394624.0,0,1,12,1882,5,1,6,10,99.99
38.0,44368070.0,0,1,9,1574,4,1,2,7,39.99
58.0,5474304.0,1,0,4,2851,4,1,7,0,0.0
67.0,199919616.0,1,1,9,2953,3,1,1,5,9.99
101786.0,211241984.0,1,1,4,3763,4,1,11,10,49.99
86.0,232634368.0,1,1,17,2173,4,1,1,0,0.0
45.0,66062336.0,0,1,12,255,4,1,1,9,4.99
7.0,15926272.0,0,1,4,455,3,1,1,1,2.99
5.0,549747712.0,1,1,9,679,3,1,1,1,9.99
1867.0,90133504.0,0,1,9,1202,3,1,43,9,49.99
38.0,88282112.0,0,1,9,3583,4,1,4,8,99.99
13.0,14295040.0,0,1,4,1877,4,1,1,7,9.99
5.0,1056768.0,0,1,4,20,3,1,1,1,0.99
55.0,78445568.0,0,0,9,836,3,1,1,0,0.0
20.0,14273536.0,0,1,4,105,4,1,1,1,0.99
7.0,56762368.0,0,1,12,583,3,1,1,0,0.0
1759.0,24915968.0,0,1,4,1838,4,1,10,7,7.99
18.0,56814592.0,0,1,4,1126,4,1,4,0,0.0
248.0,360148992.0,1,1,17,3560,4,1,1,8,44.99
101.0,23890254.0,0,1,4,1874,4,1,4,6,29.99
1733.0,330874880.0,1,1,12,1637,3,1,10,7,99.99
60.0,2581730304.0,1,0,9,1288,4,1,1,0,0.0
4092.0,51093504.0,0,1,9,2402,4,1,1,6,19.99
25.0,93100032.0,0,0,4,1077,4,1,4,0,0.0
5.0,136596480.0,0,1,4,294,3,1,1,1,3.99
5.0,25010176.0,0,1,4,481,3,1,1,1,2.99
232.0,751181824.0,1,1,9,1769,4,1,12,9,99.99
106.0,11833344.0,0,1,4,549,4,1,2,1,0.99
8.0,326992896.0,1,1,12,1117,3,1,4,1,0.99
660.0,154198016.0,1,0,12,4084,4,1,10,0,0.0
323.0,486619136.0,1,1,9,3093,4,1,1,16,49.99
1798.0,526649344.0,0,1,4,1731,4,1,1,10,4.99
9.0,368794624.0,0,1,9,1417,2,1,1,10,99.99
366.0,81891328.0,0,1,4,1270,4,1,1,1,3.99
169.0,92104704.0,1,1,9,516,5,1,8,10,99.99
12.0,9579520.0,0,1,9,1717,4,1,1,0,0.0
30.0,180963328.0,1,1,9,816,3,1,1,4,19.99
1071.0,308326400.0,0,1,12,1548,4,1,1,10,99.99
14.0,55998464.0,1,1,4,2425,4,1,1,1,1.99
53.0,46484944.0,0,1,9,1171,4,1,1,0,0.0
460.0,85475328.0,1,1,4,3278,3,1,2,10,49.99
8.0,34808832.0,1,1,4,1241,3,1,1,0,0.0
16.0,164800512.0,1,1,12,1021,3,1,1,4,4.99
25312.0,151521280.0,1,1,12,3491,3,1,17,10,49.99
121.0,259436544.0,1,1,12,3212,3,1,1,1,5.99
7474.0,388883456.0,0,0,9,2995,4,1,1,6,99.99
697.0,573243392.0,1,1,9,1720,4,1,21,10,19.99
6.0,26591332.0,0,1,4,186,4,1,1,1,0.99
129.0,152649728.0,1,1,9,1690,4,1,1,4,4.99
8.0,73663488.0,1,1,4,328,3,1,33,0,0.0
122.0,202467328.0,0,0,9,3453,4,1,1,5,4.99
77.0,250686464.0,1,1,4,3947,3,1,1,7,99.99
26.0,18681856.0,0,1,4,608,4,1,2,0,0.0
5.0,75828224.0,0,0,4,865,3,1,1,0,0.0
5.0,85200896.0,1,1,4,900,4,1,1,0,0.0
74.0,28770304.0,0,1,4,1366,4,1,1,1,0.99
18935.0,507850752.0,1,1,4,1797,4,1,10,10,19.99
939.0,60776448.0,0,1,4,509,4,1,1,6,49.99
14.0,135890944.0,1,1,4,363,3,1,1,3,2.99
6.0,25905152.0,0,1,4,522,4,1,1,0,0.0
157.0,73814016.0,0,0,4,1420,4,1,1,0,0.0
8.0,1826816.0,0,1,4,470,4,1,1,0,0.0
251.0,167112704.0,0,1,4,2120,3,1,5,1,4.99
114.0,48596992.0,1,1,17,1533,6,1,1,10,99.99
227.0,40034304.0,0,1,12,438,3,1,1,10,11.99
2182.0,85761024.0,1,1,4,1157,4,1,1,0,0.0
7.0,310617088.0,0,1,9,908,2,1,1,5,19.99
48.0,390124544.0,0,0,12,924,4,1,1,2,1.99
34.0,47236096.0,0,1,4,1224,3,1,1,0,0.0
6.0,117185536.0,0,1,4,5486,4,1,1,6,5.99
18279.0,65495040.0,1,0,9,2158,3,1,1,9,5.99
22.0,92116992.0,1,1,17,1256,3,1,1,10,5.99
2750.0,1042084864.0,1,1,12,1205,3,1,1,10,19.99
63.0,395889664.0,0,0,12,729,6,1,6,10,54.99
10.0,18087936.0,0,1,4,611,4,1,27,1,0.99
22.0,64167936.0,1,1,4,653,4,1,1,1,2.99
13.0,8283136.0,1,1,4,781,4,1,1,0,0.0
8.0,25766912.0,0,1,4,944,3,1,1,0,0.0
6.0,18137088.0,0,1,4,881,4,1,1,1,2.99
5.0,77234176.0,0,1,4,394,4,1,1,0,0.0
5.0,13786112.0,0,1,4,1004,3,1,1,0,0.0
2217.0,40773632.0,0,1,9,1236,4,1,1,4,0.99
7097.0,862961664.0,0,1,9,2308,3,1,15,10,19.99
89.0,66269184.0,0,0,4,1427,4,1,1,2,1.99
32.0,11968146.0,0,1,4,148,4,1,1,0,0.0
14.0,18780160.0,0,1,9,3196,5,1,7,5,99.99
6.0,527739904.0,0,1,9,1625,3,1,1,0,0.0
138.0,71057408.0,0,1,9,1352,3,1,3,4,15.99
22.0,275836928.0,1,1,4,2857,4,1,9,10,39.99
172.0,246345728.0,0,1,4,433,3,1,6,1,2.99
26.0,290148352.0,0,1,4,949,4,1,10,5,14.99
23.0,186489856.0,0,1,12,1535,3,1,46,9,99.99
6.0,114416640.0,0,0,4,1182,4,1,1,4,1.99
5.0,128687104.0,1,1,4,722,3,1,1,0,0.0
5.0,1265664.0,1,1,4,271,4,1,1,0,0.0
16.0,408652800.0,0,1,9,1535,4,1,1,3,49.99
39.0,15391744.0,0,1,4,935,4,1,1,6,0.99
614.0,97945600.0,0,1,4,716,4,1,1,6,99.99
158.0,683757568.0,0,0,9,1691,3,1,1,5,5.99
13.0,10514432.0,0,0,4,3103,4,1,1,0,0.0
6.0,136237056.0,0,1,4,1390,3,1,1,0,0.0
30.0,118693888.0,0,0,9,404,3,1,22,10,19.99
1005.0,136067072.0,0,1,9,2281,3,1,1,10,99.99
21.0,19589120.0,0,1,4,266,3,1,1,1,0.99
29.0,8567808.0,0,1,4,1226,4,1,1,0,0.0
37.0,208935936.0,1,1,4,2388,4,1,7,10,19.99
73.0,188120064.0,1,0,9,1270,4,1,3,0,0.0
581.0,173731840.0,1,1,12,1897,5,1,8,5,99.99
33.0,4251064.0,0,1,4,1187,3,1,1,0,0.0
28.0,211264512.0,1,1,4,3044,4,1,1,5,49.99
84.0,113933312.0,0,0,12,2429,4,1,1,0,0.0
34632.0,110595072.0,1,1,9,2020,4,1,14,10,19.99
10.0,499049472.0,0,1,9,1165,3,1,1,2,4.99
16.0,41260032.0,0,0,4,1149,4,1,1,0,0.0
42.0,358830080.0,0,0,12,1748,3,1,1,0,0.0
24.0,20168704.0,0,1,4,1653,3,1,1,0,0.0
19.0,1243613184.0,0,0,12,2640,3,1,1,0,0.0
707.0,106439680.0,1,1,4,444,4,1,1,1,1.99
11.0,60138496.0,0,1,4,2060,4,1,1,0,0.0
14501.0,29254656.0,0,1,9,1560,4,1,1,1,0.99
14.0,17340416.0,0,1,4,991,4,1,1,4,4.99
5.0,11238400.0,1,1,4,241,4,1,3,0,0.0
266.0,4456448.0,0,1,4,183,3,1,1,0,0.0
28.0,23979008.0,0,1,4,873,4,1,1,0,0.0
1620.0,11439792.0,0,1,4,3710,3,1,1,0,0.0
5.0,137827328.0,1,1,9,969,4,1,3,4,44.99
178.0,11965728.0,0,1,4,729,4,1,1,0,0.0
39.0,119450624.0,0,1,12,962,4,1,6,10,99.99
180.0,27795456.0,0,1,4,527,4,1,1,0,0.0
7.0,164879360.0,0,0,9,2005,2,1,11,5,89.99
7.0,21158912.0,1,1,4,239,3,1,2,1,0.99
10.0,65507328.0,0,1,4,611,3,1,5,0,0.0
41.0,310301696.0,0,1,4,1014,3,1,1,0,0.0
6.0,10841088.0,0,0,17,3948,3,1,1,1,9.99
214.0,31986688.0,0,0,4,225,4,1,1,1,20.99
554.0,147481600.0,0,1,9,1763,3,1,1,0,0.0
845.0,141484032.0,0,1,4,1470,4,1,3,10,49.99
47.0,23356416.0,1,1,12,1114,4,1,2,8,99.99
8.0,198966272.0,1,1,4,2549,4,1,1,4,4.99
1460.0,26494976.0,0,0,4,3453,4,1,3,0,0.0
5.0,176190464.0,0,1,9,1294,3,1,1,10,49.99
2299.0,15076352.0,1,1,4,2627,4,1,4,10,4.99
6.0,18076672.0,1,1,4,2317,3,1,1,0,0.0
11.0,14458880.0,0,1,4,214,3,1,1,1,0.99
4291.0,275511296.0,1,1,12,3071,3,1,12,10,25.99
48.0,41090048.0,1,1,4,713,3,1,4,1,1.99
23527.0,277447052.0,0,1,12,1468,4,1,4,10,99.99
23601.0,1094317056.0,1,1,12,3558,3,1,11,12,19.99
34.0,186795008.0,1,1,12,1352,4,1,1,10,19.99
104.0,72614912.0,0,1,4,315,4,1,32,6,9.99
49.0,48119808.0,1,1,4,1051,4,1,4,1,0.99
55.0,82948096.0,0,1,4,1441,3,1,25,5,49.99
13.0,142316544.0,1,1,4,1306,4,1,1,7,39.99
10.0,130055168.0,1,1,4,334,3,1,1,0,0.0
8.0,226416640.0,1,1,4,1241,4,1,1,0,0.0
60.0,3892224.0,1,1,4,632,3,1,1,0,0.0
6082.0,364777472.0,1,1,9,1018,3,1,11,11,99.99
324.0,97252352.0,0,1,4,426,4,1,1,1,1.99
447.0,105192448.0,1,1,12,538,3,1,1,6,99.99
262.0,249381888.0,0,1,4,356,4,1,1,1,1.99
22.0,5005312.0,0,1,12,1438,3,1,7,10,29.99
76.0,128904192.0,1,1,4,1975,3,1,1,10,99.99
21.0,12184576.0,0,1,4,883,3,1,1,0,0.0
18.0,235813888.0,0,1,4,366,4,1,1,3,9.99
12.0,789177344.0,0,0,9,3107,3,1,1,0,0.0
7.0,99543040.0,1,1,9,2420,4,1,1,7,35.99
145.0,178384896.0,0,0,4,1201,4,1,6,1,1.99
90.0,56504320.0,0,1,4,1184,4,1,1,1,2.99
117.0,76858368.0,0,1,4,1580,4,1,5,4,9.99
61.0,95599616.0,1,1,4,1436,4,1,1,1,1.99
59.0,15949824.0,0,1,4,285,3,1,1,1,2.99
