User Rating Count,Size,Subtitle_Available,Free_Price,Age_Rating,Description_Length,Genres_Count,Language_EN,Languages_Count,In_App_Count,In_App_Max
20.0,250996736.0,1,1,4,1308,4,1,1,2,2.99
10.0,51822592.0,0,0,4,1756,3,1,1,0,0.0
2056.0,89246720.0,0,1,12,3908,4,1,11,10,99.99
31.0,31854592.0,1,1,4,871,4,1,3,2,3.99
45.0,112926720.0,0,1,12,1173,5,1,2,5,99.99
725.0,40577024.0,0,1,12,396,3,1,1,4,49.99
3394.0,111749120.0,0,1,12,1087,4,1,5,9,99.99
6.0,12926976.0,0,1,4,332,4,1,1,0,0.0
881.0,221092864.0,1,1,4,2118,5,1,1,10,49.99
183.0,111503360.0,1,1,9,394,4,1,1,8,7.99
256.0,73660416.0,0,1,9,986,4,1,1,4,25.99
5.0,50302976.0,0,1,9,1248,3,1,1,0,0.0
2188.0,87956480.0,0,1,4,2274,4,1,1,0,0.0
26.0,43254784.0,0,1,9,3708,3,1,6,0,0.0
7.0,106633216.0,1,1,4,332,6,1,1,0,0.0
18.0,42696704.0,0,1,4,961,4,1,1,1,0.99
46.0,52588544.0,1,0,12,992,4,1,1,0,0.0
47.0,34126848.0,0,1,4,2251,3,1,1,10,6.99
55.0,92581888.0,0,1,4,2198,4,1,1,10,4.99
23.0,12437504.0,0,1,4,1121,4,1,10,7,4.99
58.0,15297039.0,0,1,9,286,3,1,1,1,0.99
9.0,11993088.0,0,1,17,1138,4,1,1,5,2.99
10.0,13561856.0,0,1,4,313,3,1,1,0,0.0
8.0,58505216.0,0,1,4,631,4,1,31,0,0.0
269.0,83431424.0,1,1,4,1849,4,1,1,10,12.99
46.0,143337472.0,1,0,4,4122,4,1,2,0,0.0
12.0,14524416.0,0,1,4,572,4,1,1,2,5.99
33.0,40997888.0,1,1,4,427,4,1,4,0,0.0
167.0,339322880.0,0,0,12,1896,4,1,1,5,1.99
668.0,117707776.0,1,1,4,1274,4,1,1,10,99.99
670.0,140309504.0,1,1,4,2512,3,1,1,7,89.99
55.0,14193664.0,0,0,9,1586,4,1,1,0,0.0
12.0,21214208.0,1,1,4,296,3,1,1,0,0.0
7.0,13316096.0,0,1,4,681,3,1,1,5,19.99
5.0,31872000.0,1,1,4,558,3,1,1,0,0.0
11.0,160685056.0,0,0,4,1289,4,1,1,1,3.99
6.0,48539648.0,0,1,4,1066,3,1,1,0,0.0
139.0,45401088.0,0,1,4,1072,4,1,1,0,0.0
4579.0,365819904.0,0,0,9,3456,4,1,8,10,11.99
101.0,43322368.0,0,1,4,1705,5,1,1,9,19.99
2303.0,219693056.0,0,0,9,2027,4,1,1,0,0.0
1303.0,63709184.0,0,0,4,2789,4,1,1,3,0.99
30.0,64679936.0,1,1,4,354,4,1,25,0,0.0
8.0,38607872.0,0,1,4,705,3,1,1,4,49.99
11.0,10801152.0,0,0,4,1017,4,1,1,0,0.0
36.0,48992256.0,0,1,4,492,6,1,1,1,0.99
83.0,25252864.0,0,1,4,301,4,1,1,0,0.0
49.0,62307328.0,1,0,17,1249,4,1,1,4,1.99
12783.0,318287872.0,1,1,17,1561,4,1,1,10,19.99
